,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
353,andreel01,1901.0,12.0,11.0,Elbert,Andrews
354,andreer01,1918.0,1.0,11.0,Ernie,Andres
355,andrefr01,1952.0,5.0,4.0,Fred,Andrews
356,andrehu01,1922.0,8.0,31.0,Hub,Andrews
357,andreiv01,1907.0,5.0,6.0,Ivy,Andrews
358,andreji01,1865.0,6.0,5.0,Jim,Andrews
359,andrejo01,1923.0,1.0,3.0,John,Andre
360,andrejo02,1949.0,2.0,9.0,John,Andrews
361,andreki01,1953.0,11.0,14.0,Kim,Andrew
362,andremi01,1943.0,7.0,9.0,Mike,Andrews
363,andrena01,1913.0,9.0,30.0,Nate,Andrews
364,andrero01,1952.0,12.0,11.0,Rob,Andrews
365,andresh01,1971.0,8.0,28.0,Shane,Andrews
366,andrest01,1917.0,4.0,17.0,Stan,Andrews
367,andrewa01,1859.0,9.0,18.0,Wally,Andrews
368,andrima01,1989.0,8.0,28.0,Matt,Andriese
369,andrubi01,1907.0,7.0,25.0,Bill,Andrus
370,andruel01,1988.0,8.0,26.0,Elvis,Andrus
371,andrufr01,1850.0,8.0,23.0,Fred,Andrus
372,andruwi01,1858.0,10.0,14.0,Wyman,Andrus
373,andujjo01,1952.0,12.0,21.0,Joaquin,Andujar
374,andujlu01,1972.0,11.0,22.0,Luis,Andujar
375,angelno01,1947.0,9.0,24.0,Norm,Angelini
376,anglema01,1985.0,9.0,10.0,Matt,Angle
377,angleto01,1904.0,10.0,2.0,Tom,Angley
378,ankenpa01,1912.0,12.0,23.0,Pat,Ankenman
379,ankieri01,1979.0,7.0,19.0,Rick,Ankiel
380,annade01,1986.0,11.0,24.0,Dean,Anna
381,annisbi01,1857.0,5.0,24.0,Bill,Annis
382,ansonca01,1852.0,4.0,17.0,Cap,Anson
383,anthoer01,1967.0,11.0,8.0,Eric,Anthony
384,antoljo01,1916.0,4.0,11.0,Joe,Antolick
385,antonbi01,1927.0,5.0,19.0,Bill,Antonello
386,antonjo01,1915.0,7.0,15.0,John,Antonelli
387,antonjo02,1930.0,4.0,12.0,Johnny,Antonelli
388,antonma01,1985.0,4.0,8.0,Matt,Antonelli
389,aokino01,1982.0,1.0,5.0,Nori,Aoki
390,aparilu01,1934.0,4.0,29.0,Luis,Aparicio
391,apodabo01,1950.0,1.0,31.0,Bob,Apodaca
392,apontlu01,1953.0,6.0,14.0,Luis,Aponte
393,appieke01,1967.0,12.0,6.0,Kevin,Appier
394,appleed01,1892.0,2.0,29.0,Ed,Appleton
395,applefr01,1879.0,5.0,9.0,Fred,Applegate
